SchoolDepartment,CourseTitle,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour,description,department_code,created_date,phone_number,email,Cluster
17,111,6,141,4,372,172,425,4,0,21,2126442882953,25,2
17,1820,6,135,4,346,172,430,4,0,21,2126442882953,25,2
17,1215,6,141,4,372,172,446,4,0,21,2126442882953,25,2
17,661,6,46,4,365,172,576,4,0,21,2126442882953,25,2
17,440,6,46,4,346,175,186,4,0,21,2126442882953,25,2
17,35,6,141,4,346,179,367,4,0,21,2126442882953,25,2
17,114,6,141,4,346,179,377,4,0,21,2126442882953,25,2
17,1360,6,46,4,345,179,397,4,0,21,2126442882953,25,2
17,1361,6,46,4,52,179,400,4,0,21,2126442882953,25,2
17,1302,6,46,4,333,179,403,4,0,21,2126442882953,25,2
17,913,6,46,4,54,179,414,4,0,21,2126442882953,25,2
23,1532,6,99,4,308,179,419,25,1,5,2121135897138,23,3
5,1573,6,99,4,285,179,420,11,2,8,2123731667078,19,0
5,479,6,46,4,8,179,421,11,2,8,2123731667078,19,0
5,965,6,99,4,302,179,422,11,2,8,2123731667078,19,0
5,768,6,99,4,302,179,423,11,2,8,2123731667078,19,0
17,372,6,46,4,370,179,425,4,0,21,2126442882953,25,2
17,1676,6,141,4,372,181,216,4,0,21,2126442882953,25,2
0,957,6,135,4,348,185,557,5,3,23,2124593511982,14,0
23,1532,6,99,4,302,197,377,25,1,5,2121135897138,23,3
23,1532,6,99,4,302,197,378,25,1,5,2121135897138,23,3
23,1532,6,99,4,302,197,378,25,1,5,2121135897138,23,3
23,1532,6,99,4,302,197,379,25,1,5,2121135897138,23,3
23,1532,6,99,4,302,197,380,25,1,5,2121135897138,23,3
23,1532,6,99,4,302,197,380,25,1,5,2121135897138,23,3
17,163,6,46,4,8,197,382,4,0,21,2126442882953,25,2
17,1679,6,46,4,334,197,385,4,0,21,2126442882953,25,2
17,583,6,46,4,341,197,386,4,0,21,2126442882953,25,2
17,1675,6,141,4,372,197,388,4,0,21,2126442882953,25,2
17,1174,6,46,4,335,197,391,4,0,21,2126442882953,25,2
6,355,6,99,4,302,197,398,7,4,2,2127308767779,6,2
6,1061,6,99,4,302,197,398,7,4,2,2127308767779,6,2
17,1544,6,135,4,316,198,301,4,0,21,2126442882953,25,2
17,1532,6,99,4,302,198,305,4,0,21,2126442882953,25,2
17,1532,6,99,4,302,198,306,4,0,21,2126442882953,25,2
17,1532,6,99,4,302,198,307,4,0,21,2126442882953,25,2
17,1532,6,99,4,302,198,307,4,0,21,2126442882953,25,2
17,1532,6,99,4,302,198,308,4,0,21,2126442882953,25,2
17,695,6,46,4,334,201,172,4,0,21,2126442882953,25,2
23,1532,6,99,4,302,201,326,25,1,5,2121135897138,23,3
17,1532,6,99,4,302,201,327,4,0,21,2126442882953,25,2
17,1690,6,46,4,23,204,435,4,0,21,2126442882953,25,2
17,1696,6,46,4,334,205,400,4,0,21,2126442882953,25,2
17,116,6,141,4,372,205,402,4,0,21,2126442882953,25,2
10,225,6,46,4,346,205,412,15,5,10,2125785710374,18,2
17,1265,6,46,4,8,205,455,4,0,21,2126442882953,25,2
10,630,6,46,4,334,207,357,15,5,10,2125785710374,18,2
17,1345,6,46,4,320,207,447,4,0,21,2126442882953,25,2
17,442,6,46,4,346,207,567,4,0,21,2126442882953,25,2
17,1654,6,46,4,346,209,187,4,0,21,2126442882953,25,2
17,1819,6,46,4,334,210,208,4,0,21,2126442882953,25,2
17,1264,6,46,4,334,210,334,4,0,21,2126442882953,25,2
0,743,6,46,4,8,211,308,5,3,23,2124593511982,14,0
17,1175,6,46,4,333,213,398,4,0,21,2126442882953,25,2
23,148,6,99,4,302,213,410,25,1,5,2121135897138,23,3
23,1532,6,99,4,302,213,412,25,1,5,2121135897138,23,3
23,1532,6,99,4,302,213,413,25,1,5,2121135897138,23,3
17,1532,6,99,4,302,213,413,4,0,21,2126442882953,25,2
17,1532,6,99,4,302,213,414,4,0,21,2126442882953,25,2
17,1532,6,99,4,302,213,415,4,0,21,2126442882953,25,2
23,1532,6,99,4,302,213,415,25,1,5,2121135897138,23,3
11,418,6,46,4,334,213,417,10,7,16,2129561774359,3,1
17,1472,6,46,4,66,216,405,4,0,21,2126442882953,25,2
17,477,6,46,4,334,216,407,4,0,21,2126442882953,25,2
17,1346,6,46,4,8,216,452,4,0,21,2126442882953,25,2
17,967,6,46,4,334,216,457,4,0,21,2126442882953,25,2
17,1711,6,46,4,334,221,334,4,0,21,2126442882953,25,2
5,1305,6,46,4,333,226,280,11,2,8,2123731667078,19,0
5,244,6,141,4,378,226,282,11,2,8,2123731667078,19,0
17,1693,6,46,4,8,226,283,4,0,21,2126442882953,25,2
17,1350,6,141,4,372,226,297,4,0,21,2126442882953,25,2
23,34,6,46,4,71,226,394,25,1,5,2121135897138,23,3
0,478,6,46,4,66,228,180,5,3,23,2124593511982,14,0
17,760,6,46,4,8,229,333,4,0,21,2126442882953,25,2
17,356,6,46,4,334,231,284,4,0,21,2126442882953,25,2
17,214,6,135,4,348,233,418,4,0,21,2126442882953,25,2
0,480,6,46,4,8,235,359,5,3,23,2124593511982,14,0
17,117,6,141,4,372,236,157,4,0,21,2126442882953,25,2
17,1775,6,46,4,334,236,179,4,0,21,2126442882953,25,2
17,113,6,141,4,372,236,417,4,0,21,2126442882953,25,2
17,188,6,46,4,334,237,432,4,0,21,2126442882953,25,2
17,1197,6,46,4,334,244,485,4,0,21,2126442882953,25,2
17,1525,6,130,4,346,244,489,4,0,21,2126442882953,25,2
17,1524,6,46,4,66,244,490,4,0,21,2126442882953,25,2
17,1199,6,130,4,344,244,492,4,0,21,2126442882953,25,2
17,1199,6,130,4,343,244,493,4,0,21,2126442882953,25,2
20,267,6,99,4,302,244,494,21,6,13,2126354892880,9,2
20,1482,6,99,4,302,244,495,21,6,13,2126354892880,9,2
17,1653,6,46,4,8,244,497,4,0,21,2126442882953,25,2
17,1171,6,46,4,364,245,150,4,0,21,2126442882953,25,2
17,1662,6,141,4,372,245,152,4,0,21,2126442882953,25,2
